Region,District,Sub-county,0-4,0-8,0-17,6-12,13-18,18-30,14-64,60+,15-24,15-29,Females 15 - 49,65+
Northern,Abim,Abim,"2,138","3,949","7,413","3,048","2,142","2,665","6,047",484,"2,692","3,403","2,722",346
Northern,Abim,Abim Town Council,"2,805","5,236","9,739","3,935","2,836","3,885","8,806",549,"3,660","4,918","3,900",389
Northern,Abim,Alerek,"3,159","6,005","10,554","4,517","2,778","3,757","8,325",547,"3,543","4,654","3,706",376
Northern,Abim,Lotukei,"3,779","7,200","13,389","5,562","3,846","5,067","11,409",671,"4,928","6,448","5,266",489
Northern,Abim,Morulem,"4,319","7,777","13,547","5,415","3,565","4,543","10,826",832,"4,434","5,789","4,841",554
Northern,Abim,Nyakwae,"3,031","5,406","9,104","3,679","2,278","3,128","6,971",477,"2,849","3,833","3,135",294
Northern,Abim,District,"19,231","35,573","63,746","26,156","17,445","23,045","52,384","3,560","22,106","29,045","23,570","2,448"
Northern,Adjumani,Adjumani Town Council,"5,252","9,563","18,865","7,235","6,316","8,884","19,786","1,023","8,453","11,281","9,165",648
Northern,Adjumani,Adropi,"2,172","3,671","6,651","2,505","1,836","2,484","5,846",306,"2,304","3,186","2,639",192
Northern,Adjumani,Arinyapi,"2,132","3,711","6,678","2,563","1,913","2,656","6,028",329,"2,530","3,398","2,712",223
Northern,Adjumani,Ciforo,"2,640","4,593","8,111","3,105","2,231","3,009","7,467",562,"2,885","3,848","3,204",333
Northern,Adjumani,Dzaipi,"9,353","15,724","26,243","9,719","6,224","7,577","19,183","1,376","7,124","9,675","9,378",828
Northern,Adjumani,Itirikwa,"3,714","6,277","10,517","3,883","2,562","3,223","8,032",455,"3,115","4,225","3,738",267
Northern,Adjumani,Ofua,"2,763","4,747","8,440","3,122","2,343","2,890","6,896",411,"2,916","3,809","3,210",278
Northern,Adjumani,Ukusijoni,"2,295","3,946","6,851","2,569","1,780","2,233","5,487",284,"2,188","2,911","2,487",166
Northern,Adjumani,Pacara,"2,926","5,240","9,885","3,749","3,061","3,552","8,748",548,"3,574","4,721","3,955",324
Northern,Adjumani,Pakele,"10,583","18,173","31,159","11,896","7,588","8,658","22,134","1,676","8,213","11,172","10,657","1,064"
Northern,Adjumani,District,"43,830","75,645","133,400","50,346","35,854","45,166","109,607","6,970","43,302","58,226","51,145","4,323"
Northern,Agago,Adilang,"3,862","6,961","12,219","4,859","3,244","3,436","9,571",937,"3,600","4,613","4,058",652
Northern,Agago,Agago Town Council,"1,245","2,142","3,549","1,318",868,"1,144","2,862",249,"1,067","1,454","1,294",161
Northern,Agago,Arum,"2,418","4,123","7,190","2,712","1,907","2,141","5,601",454,"2,203","2,924","2,566",307
Northern,Agago,Kalongo Town Council,"1,811","3,297","5,989","2,358","1,694","2,535","5,742",375,"2,276","3,121","2,630",260
Northern,Agago,Kotomol,"2,165","3,931","7,259","2,958","2,050","2,462","6,280",560,"2,492","3,233","2,796",382
Northern,Agago,Lamiyo,"1,632","2,887","5,069","2,028","1,315","1,565","4,045",371,"1,631","2,084","1,792",269
Northern,Agago,Lapono,"4,455","7,975","13,431","5,281","3,366","3,925","10,337",833,"4,006","5,155","4,577",585
Northern,Agago,Lira Palwo,"3,155","5,659","9,866","3,839","2,635","2,731","7,738",719,"2,972","3,795","3,386",532
Northern,Agago,Lokole,"3,210","5,564","9,451","3,586","2,477","2,806","7,363",603,"2,932","3,752","3,324",397
Northern,Agago,Omiya Pacwa,"2,395","4,141","6,942","2,671","1,704","2,040","5,525",388,"2,050","2,689","2,438",241
Northern,Agago,Omot,"2,640","4,618","8,000","3,062","2,118","2,354","6,372",600,"2,373","3,093","2,781",425
Northern,Agago,Paimol,"3,803","7,010","12,261","4,889","3,268","4,100","10,348",793,"3,945","5,240","4,539",535
Northern,Agago,Parabongo,"2,226","4,064","6,916","2,703","1,788","1,971","5,330",498,"2,048","2,628","2,345",342
Northern,Agago,Patongo,"2,101","3,785","6,601","2,598","1,740","1,833","5,251",495,"2,010","2,513","2,269",339
Northern,Agago,Patongo Town Council,"1,927","3,564","6,374","2,592","1,772","2,445","5,740",406,"2,265","3,077","2,637",301
Northern,Agago,Wol,"4,603","8,148","13,907","5,379","3,567","4,426","11,130",981,"4,416","5,752","4,951",685
Northern,Agago,District,"43,648","77,869","135,024","52,833","35,513","41,914","109,235","9,262","42,286","55,123","48,383","6,413"
Northern,Alebtong,Abako,"4,320","7,664","13,902","5,455","3,935","4,923","12,367","1,095","4,998","6,484","5,405",686
Northern,Alebtong,Abia,"4,263","7,630","13,469","5,337","3,680","4,732","11,625","1,086","4,606","6,097","5,146",769
Northern,Alebtong,Akura,"3,893","6,970","13,256","5,261","3,945","4,528","11,791","1,140","4,749","6,094","5,182",779
