Region,District,Sub-county,0-4,0-8,0-17,12-Jun,13-18,18-30,14-64,60+,15-24,15-29,15 -49,65+
Northern,Abim,Abim,2138,3949,7413,3048,2142,2665,6047,484,2692,3403,2722,346
Northern,Abim,Abim Town Council,2805,5236,9739,3935,2836,3885,8806,549,3660,4918,3900,389
Northern,Abim,Alerek,3159,6005,10554,4517,2778,3757,8325,547,3543,4654,3706,376
Northern,Abim,Lotukei,3779,7200,13389,5562,3846,5067,11409,671,4928,6448,5266,489
Northern,Abim,Morulem,4319,7777,13547,5415,3565,4543,10826,832,4434,5789,4841,554
Northern,Abim,Nyakwae,3031,5406,9104,3679,2278,3128,6971,477,2849,3833,3135,294
Northern,Abim,District,19231,35573,63746,26156,17445,23045,52384,3560,22106,29045,23570,2448
Northern,Adjumani,Adjumani Town Council,5252,9563,18865,7235,6316,8884,19786,1023,8453,11281,9165,648
Northern,Adjumani,Adropi,2172,3671,6651,2505,1836,2484,5846,306,2304,3186,2639,192
Northern,Adjumani,Arinyapi,2132,3711,6678,2563,1913,2656,6028,329,2530,3398,2712,223
Northern,Adjumani,Ciforo,2640,4593,8111,3105,2231,3009,7467,562,2885,3848,3204,333
Northern,Adjumani,Dzaipi,9353,15724,26243,9719,6224,7577,19183,1376,7124,9675,9378,828
Northern,Adjumani,Itirikwa,3714,6277,10517,3883,2562,3223,8032,455,3115,4225,3738,267
Northern,Adjumani,Ofua,2763,4747,8440,3122,2343,2890,6896,411,2916,3809,3210,278
Northern,Adjumani,Ukusijoni,2295,3946,6851,2569,1780,2233,5487,284,2188,2911,2487,166
Northern,Adjumani,Pacara,2926,5240,9885,3749,3061,3552,8748,548,3574,4721,3955,324
Northern,Adjumani,Pakele,10583,18173,31159,11896,7588,8658,22134,1676,8213,11172,10657,1064
Northern,Adjumani,District,43830,75645,133400,50346,35854,45166,109607,6970,43302,58226,51145,4323
Northern,Agago,Adilang,3862,6961,12219,4859,3244,3436,9571,937,3600,4613,4058,652
Northern,Agago,Agago Town Council,1245,2142,3549,1318,868,1144,2862,249,1067,1454,1294,161
Northern,Agago,Arum,2418,4123,7190,2712,1907,2141,5601,454,2203,2924,2566,307
Northern,Agago,Kalongo Town Council,1811,3297,5989,2358,1694,2535,5742,375,2276,3121,2630,260
Northern,Agago,Kotomol,2165,3931,7259,2958,2050,2462,6280,560,2492,3233,2796,382
Northern,Agago,Lamiyo,1632,2887,5069,2028,1315,1565,4045,371,1631,2084,1792,269
Northern,Agago,Lapono,4455,7975,13431,5281,3366,3925,10337,833,4006,5155,4577,585
Northern,Agago,Lira Palwo,3155,5659,9866,3839,2635,2731,7738,719,2972,3795,3386,532
Northern,Agago,Lokole,3210,5564,9451,3586,2477,2806,7363,603,2932,3752,3324,397
Northern,Agago,Omiya Pacwa,2395,4141,6942,2671,1704,2040,5525,388,2050,2689,2438,241
Northern,Agago,Omot,2640,4618,8000,3062,2118,2354,6372,600,2373,3093,2781,425
Northern,Agago,Paimol,3803,7010,12261,4889,3268,4100,10348,793,3945,5240,4539,535
Northern,Agago,Parabongo,2226,4064,6916,2703,1788,1971,5330,498,2048,2628,2345,342
Northern,Agago,Patongo,2101,3785,6601,2598,1740,1833,5251,495,2010,2513,2269,339
Northern,Agago,Patongo Town Council,1927,3564,6374,2592,1772,2445,5740,406,2265,3077,2637,301
Northern,Agago,Wol,4603,8148,13907,5379,3567,4426,11130,981,4416,5752,4951,685
Northern,Agago,District,43648,77869,135024,52833,35513,41914,109235,9262,42286,55123,48383,6413
Northern,Alebtong,Abako,4320,7664,13902,5455,3935,4923,12367,1095,4998,6484,5405,686
Northern,Alebtong,Abia,4263,7630,13469,5337,3680,4732,11625,1086,4606,6097,5146,769
Northern,Alebtong,Akura,3893,6970,13256,5261,3945,4528,11791,1140,4749,6094,5182,779
Northern,Alebtong,Alebtong Town Council,1092,1945,3605,1444,1056,1446,3420,290,1335,1804,1497,205
Northern,Alebtong,Aloi,5055,9235,17561,7190,5173,6116,15625,1562,6195,8037,6796,1025
Northern,Alebtong,Amugu,4961,8899,16158,6501,4517,5396,13592,1325,5422,7076,6005,912
Northern,Alebtong,Apala,3325,5978,11074,4401,3222,4114,10046,976,4104,5386,4487,692
Northern,Alebtong,Awei,4846,8814,16634,6731,4903,5750,14460,1276,5878,7652,6256,850
Northern,Alebtong,Omoro,8093,14089,25197,9881,6868,8246,21284,2053,8393,10849,9159,1374
Northern,Alebtong,District,39848,71224,130856,52201,37299,45251,114210,10803,45680,59479,49933,7292
Northern,Amolatar,Agikdak,1880,3408,6235,2550,1712,2300,5443,468,2253,2959,2398,327
Northern,Amolatar,Agwingiri,2557,4659,8483,3415,2361,3092,7723,574,3018,3983,3293,387
