,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,
 DISTRICT , Sub-County , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Bukomansimbi  ,,75600,76400,152000,76200,76800,153000,76900,77100,154000,77500,77400,154900,78100,77700,155800,78700,77900,156600,79200,78100,157300,79700,78200,157900,80100,78300,158400,80400,78300,158700,80700,78300,159000,80900,78200,159100,81000,78000,159000,81100,77800,158900,81000,77500,158500,80900,77000,157900
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Bigasa ,21200,21100,42300,21200,21200,42400,21400,21300,42700,21600,21300,42900,21800,21400,43200,22100,21500,43600,22100,21600,43700,22200,21600,43800,22400,21600,44000,22400,21600,44000,22500,21600,44100,22500,21600,44100,22600,21500,44100,22600,21400,44000,22600,21400,44000,22500,21300,43800
,    Bukomansimbi  Town Council ,4700,5000,9700,4800,5000,9800,4800,5000,9800,4900,5100,10000,4900,5100,10000,4900,5100,10000,5000,5100,10100,5000,5100,10100,5000,5100,10100,5000,5100,10100,5100,5100,10200,5100,5100,10200,5100,5100,10200,5100,5100,10200,5100,5100,10200,5100,5000,10100
,    Butenga ,19100,19500,38600,19300,19600,38900,19500,19600,39100,19600,19700,39300,19800,19800,39600,19900,19800,39700,20100,19900,40000,20200,19900,40100,20300,19900,40200,20400,19900,40300,20400,19900,40300,20500,19900,40400,20500,19900,40400,20500,19800,40300,20500,19700,40200,20500,19600,40100
,    Kibinge ,16200,16700,32900,16300,16800,33100,16500,16900,33400,16600,17000,33600,16700,17000,33700,16800,17100,33900,16900,17100,34000,17100,17100,34200,17100,17200,34300,17200,17200,34400,17300,17200,34500,17300,17100,34400,17300,17100,34400,17400,17100,34500,17300,17000,34300,17300,16900,34200
,    Kitanda ,14400,14100,28500,14600,14200,28800,14700,14300,29000,14800,14300,29100,14900,14400,29300,15000,14400,29400,15100,14400,29500,15200,14500,29700,15300,14500,29800,15400,14500,29900,15400,14500,29900,15500,14500,30000,15500,14400,29900,15500,14400,29900,15500,14300,29800,15500,14200,29700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
